550;Universidad Privada de Santa Cruz de la Sierra
551;Universidad Privada Franz Tamayo (UNIFRANZ)
552;Universidad Salesiana de Bolivia
553;Universidad San Francisco Xavier
554;Universidad San Francisco Xavier de Chuquisaca
555;Universidad Técnica de Oruro
556;Centro Regional Universitário de Espiríto Santo do Pinhal
557;Centro Universitário Adventista de São Paulo
558;Centro Universitário Barao de Maua
559;Centro Universitário Claretiano
560;Centro Universitário de Araraquara
561;Centro Universitário de João Pessoa
562;Centro Universitário Monte Serrat
563;Centro Universitário Newton Paiva
564;Centro Universitário Plinio Leite
565;Centro Universitário Senac
566;Centro Universitário Serra dos Órgãos
567;EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória
568;FAAP - Fundação Armando Alvares Penteado
569;Faculdade Integradas do Ceará
570;Faculdade Italo Brasileira
571;Faculdade Jaguariúna
572;Faculdades Integradas Curitiba
573;Faculdades Integradas do Brasil - UNIBRASIL
574;Faculdades Integradas Toledo
575;Faculdades Integradas UPIS
576;FAE Business School - Faculdade de Administração e Economia
577;Fundação Educacional de Ituverava
578;Instituto Mauá de Tecnologia
579;Instituto Nacional de Matemática Pura e Aplicada - IMPA
580;Instituto Tecnológico de Aeronáutica
581;Pontifícia Universidade Católica de Campinas
582;Pontifícia Universidade Católica de Minas Gerais
583;Pontifícia Universidade Católica de São Paulo
584;Pontificia Universidade Católica do Paraná
585;Pontifícia Universidade Católica do Rio de Janeiro
586;Pontifícia Universidade Católica do Rio Grande do Sul
587;Universidade Bandeirante de São Paulo
588;Universidade Braz Cubas
589;Universidade Camilo Castelo Branco
590;Universidade Candido Mendes
591;Universidade Castelo Branco
592;Universidade Católica de Brasília
593;Universidade Católica de Goiás
594;Universidade Católica de Pelotas
595;Universidade Católica de Pernambuco
596;Universidade Católica de Petrópolis
597;Universidade Católica de Salvador
598;Universidade Católica de Santos
599;Universidade Católica Dom Bosco
600;Universidade Cidade de São Paulo
601;Universidade Cruzeiro do Sul
602;Universidade da Amazônia
603;Universidade da Região da Campanha
604;Universidade de Alfenas
605;Universidade de Brasília
606;Universidade de Caxias do Sul
607;Universidade de Cruz Alta
608;Universidade de Fortaleza
609;Universidade de Franca
610;Universidade de Guarulhos
611;Universidade de Itaúna
612;Universidade de Marília
613;Universidade de Mogi das Cruzes
614;Universidade de Nova Iguaçu
615;Universidade de Passo Fundo
616;Universidade de Pernambuco
617;Universidade de Ribeirão Preto
618;Universidade de Santa Cruz do Sul
619;Universidade de Santo Amaro
620;Universidade de São Paulo
621;Universidade de Taubaté
622;Universidade de Tocantins
623;Universidade de Uberaba
624;Universidade de Vila Velha
625;Universidade do Amazonas
626;Universidade do Estado da Bahia
627;Universidade do Estado de Santa Catarina
628;Universidade do Estado do Rio de Janeiro
629;Universidade do Estado do Rio Grande do Norte
630;Universidade do Extremo Sul Catarinense
631;Universidade do Grande Rio
632;Universidade do Oeste de Santa Catarina
633;Universidade do Oeste Paulista
634;Universidade do Rio de Janeiro
635;Universidade do Rio Grande
636;Universidade do Sagrado Coração
637;Universidade do Sul de Santa Catarina
638;Universidade do Vale do Itajaí
639;Universidade Estácio de Sá
640;Universidade Estadual da Paraíba
641;Universidade Estadual de Campinas
642;Universidade Estadual de Feira de Santana
643;Universidade Estadual de Londrina
644;Universidade Estadual de Maringá
645;Universidade Estadual de Montes Claros
646;Universidade Estadual de Ponta Grossa
647;Universidade Estadual de Santa Cruz
648;Universidade Estadual do Ceará
649;Universidade Estadual do Centro-Oeste
650;Universidade Estadual do Maranhão
651;Universidade Estadual do Norte Fluminense
652;Universidade Estadual do Oeste do Paraná
653;Universidade Estadual do Piauí
